ordre,verbe_fr,verbe_es,present,future,passe,conditionnel
72,s’habiller,Vestirse,"me visto, te vistes, se viste, nos vestimos, os vestís, se visten","me vestiré, te vestirás, se vestirá, nos vestiremos, os vestiréis, se vestirán","me he vestido, te has vestido, se ha vestido, nos hemos vestido, os habéis vestido, se han vestido","me vestiría, te vestirías, se vestiría, nos vestiríamos, os vestiríais, se vestirían"
73,éteindre,Apagar,"apago, apagas, apaga, apagamos, apagáis, apagan","apagaré, apagarás, apagará, apagaremos, apagaréis, apagarán","he apagado, has apagado, ha apagado, hemos apagado, habéis apagado, han apagado","apagaría, apagarías, apagaría, apagaríamos, apagaríais, apagarían"
74,allumer,Encender,"enciende, enciendes, enciende, encendemos, encendéis, encienden","encenderé, encenderás, encenderá, encenderemos, encenderéis, encenderán","he encendido, has encendido, ha encendido, hemos encendido, habéis encendido, han encendido","encendería, encenderías, encendería, encenderíamos, encenderíais, encenderían"
75,réparer,Reparar,"reparo, reparas, repara, reparamos, reparáis, reparan","repararé, repararás, reparará, repararemos, repararéis, repararán","he reparado, has reparado, ha reparado, hemos reparado, habéis reparado, han reparado","repararía, repararías, repararía, repararíamos, repararíais, repararían"
76,déménager,Mudarse,"me mudo, te mudas, se muda, nos mudamos, os mudáis, se mudan","me mudaré, te mudarás, se mudará, nos mudaremos, os mudaréis, se mudarán","me he mudado, te has mudado, se ha mudado, nos hemos mudado, os habéis mudado, se han mudado","me mudaría, te mudarías, se mudaría, nos mudaríamos, os mudaríais, se mudarían"
77,tomber, Caer,"caigo, caes, cae, caemos, caéis, caen","caeré, caerás, caerá, caeremos, caeréis, caerán","he caído, has caído, ha caído, hemos caído, habéis caído, han caído","caería, caerías, caería, caeríamos, caeríais, caerían"
78,atteindre,Alcanzar,"alcanzo, alcanzas, alcanza, alcanzamos, alcanzáis, alcanzan","alcanzaré, alcanzarás, alcanzará, alcanzaremos, alcanzaréis, alcanzarán","he alcanzado, has alcanzado, ha alcanzado, hemos alcanzado, habéis alcanzado, han alcanzado","alcanzaría, alcanzarías, alcanzaría, alcanzaríamos, alcanzaríais, alcanzarían"
79,couper, Cortar,"corto, cortas, corta, cortamos, cortáis, cortan","cortaré, cortarás, cortará, cortaremos, cortaréis, cortarán","he cortado, has cortado, ha cortado, hemos cortado, habéis cortado, han cortado","cortaría, cortarías, cortaría, cortaríamos, cortaríais, cortarían"
80,payer, Pagar,"pago, pagas, paga, pagamos, pagáis, pagan","pagaré, pagarás, pagará, pagaremos, pagaréis, pagarán","he pagado, has pagado, ha pagado, hemos pagado, habéis pagado, han pagado","pagaría, pagarías, pagaría, pagaríamos, pagaríais, pagarían"
81,danser,Bailar,"bailo, bailas, baila, bailamos, bailáis, bailan","bailaré, bailarás, bailará, bailaremos, bailaréis, bailarán","he bailado, has bailado, ha bailado, hemos bailado, habéis bailado, han bailado","bailaría, bailarías, bailaría, bailaríamos, bailaríais, bailarían"
82,dessiner,Dibujar,"dibujo, dibujas, dibuja, dibujamos, dibujáis, dibujan","dibujaré, dibujarás, dibujará, dibujaremos, dibujaréis, dibujarán","he dibujado, has dibujado, ha dibujado, hemos dibujado, habéis dibujado, han dibujado","dibujaría, dibujarías, dibujaría, dibujaríamos, dibujaríais, dibujarían"
83,conduire,Conducir,"conduzco, conduces, conduce, conducimos, conducís, conducen","conduciré, conducirás, conducirá, conduciremos, conduciréis, conducirán","he conducido, has conducido, ha conducido, hemos conducido, habéis conducido, han conducido","conduciría, conducirías, conduciría, conduciríamos, conduciríais, conducirían"
84,expliquer,Explicar,"explico, explicas, explica, explicamos, explicáis, explican","explicaré, explicarás, explicará, explicaremos, explicaréis, explicarán","he explicado, has explicado, ha explicado, hemos explicado, habéis explicado, han explicado","explicaría, explicarías, explicaría, explicaríamos, explicaríais, explicarían"
85,trouver,Encontrar,"encuentro, encuentras, encuentra, encontramos, encontráis, encuentran","encontraré, encontrarás, encontrará, encontraremos, encontraréis, encontrarán","he encontrado, has encontrado, ha encontrado, hemos encontrado, habéis encontrado, han encontrado","encontraría, encontrarías, encontraría, encontraríamos, encontraríais, encontrarían"
86,finir,Terminar,"termino, terminas, termina, terminamos, termináis, terminan","terminaré, terminarás, terminará, terminaremos, terminaréis, terminarán","he terminado, has terminado, ha terminado, hemos terminado, habéis terminado, han terminado","terminaría, terminarías, terminaría, terminaríamos, terminaríais, terminarían"
87,oublier,Olvidar,"olvido, olvidas, olvida, olvidamos, olvidáis, olvidan","olvidaré, olvidarás, olvidará, olvidaremos, olvidaréis, olvidarán","he olvidado, has olvidado, ha olvidado, hemos olvidado, habéis olvidado, han olvidado","olvidaría, olvidarías, olvidaría, olvidaríamos, olvidaríais, olvidarían"
88,ouvrir,Abrir,"abro, abres, abre, abrimos, abrís, abren","abriré, abrirás, abrirá, abriremos, abriréis, abrirán","he abierto, has abierto, ha abierto, hemos abierto, habéis abierto, han abierto","abriría, abrirías, abriría, abriríamos, abriríais, abrirían"
89,fermer,Cerrar,"cierro, cierras, cierra, cerramos, cerráis, cierran","cerraré, cerrarás, cerrará, cerraremos, cerraréis, cerrarán","he cerrado, has cerrado, ha cerrado, hemos cerrado, habéis cerrado, han cerrado","cerraría, cerrarías, cerraría, cerraríamos, cerraríais, cerrarían"
90,organiser,Organizar,"organizo, organizas, organiza, organizamos, organizáis, organizan","organizaré, organizarás, organizará, organizaremos, organizaréis, organizarán","he organizado, has organizado, ha organizado, hemos organizado, habéis organizado, han organizado","organizaría, organizarías, organizaría, organizaríamos, organizaríais, organizarían"
91,jouer,Jugar,"juego, juegas, juega, jugamos, jugáis, juegan","jugaré, jugarás, jugará, jugaremos, jugaréis, jugarán","he jugado, has jugado, ha jugado, hemos jugado, habéis jugado, han jugado","jugaría, jugarías, jugaría, jugaríamos, jugaríais, jugarían"
92,pleuvoir,Llover,"lloveré, lloverás, lloverá, lloveremos, lloveréis, lloverán","ha llovido, ha llovido, ha llovido, ha llovido, ha llovido, ha llovido","llovería, lloverías, llovería, lloveríamos, lloveríais, lloverían"
93,courir,Correr,"corro, corres, corre, corremos, corréis, corren","correré, correrás, correrá, correremos, correréis, correrán","he corrido, has corrido, ha corrido, hemos corrido, habéis corrido, han corrido","correría, correrías, correría, correríamos, correríais, correrían"
94,marcher, Caminar,"camino, caminas, camina, caminamos, camináis, caminan","caminaré, caminarás, caminará, caminaremos, caminaréis, caminarán","he caminado, has caminado, ha caminado, hemos caminado, habéis caminado, han caminado","caminaría, caminarías, caminaría, caminaríamos, caminaríais, caminarían"
95,s’asseoir,Sentarse,"me siento, te sientes, se siente, nos sentimos, os sentís, se sienten","me sentaré, te sentarás, se sentará, nos sentaremos, os sentaréis, se sentarán","me he sentado, te has sentado, se ha sentado, nos hemos sentado, os habéis sentado, se han sentado","me sentaría, te sentarías, se sentaría, nos sentaríamos, os sentaríais, se sentarían"
96,envoyer,Enviar,"envío, envías, envía, enviamos, enviáis, envían","enviaré, enviarás, enviará, enviaremos, enviaréis, enviarán","he enviado, has enviado, ha enviado, hemos enviado, habéis enviado, han enviado","enviaría, enviarías, enviaría, enviaríamos, enviaríais, enviarían"
97,signer, Firmar,"firmo, firmas, firma, firmamos, firmáis, firman","firmaré, firmarás, firmará, firmaremos, firmaréis, firmarán","he firmado, has firmado, ha firmado, hemos firmado, habéis firmado, han firmado","firmaría, firmarías, firmaría, firmaríamos, firmaríais, firmarían"
98,chercher,Buscar,"busco, buscas, busca, buscamos, buscáis, buscan","buscaré, buscarás, buscará, buscaremos, buscaréis, buscarán","he buscado, has buscado, ha buscado, hemos buscado, habéis buscado, han buscado","buscaría, buscarías, buscaría, buscaríamos, buscaríais, buscarían"
99,aider,Ayudar,"ayudo, ayudas, ayuda, ayudamos, ayudáis, ayudan","ayudaré, ayudarás, ayudará, ayudaremos, ayudaréis, ayudarán","he ayudado, has ayudado, ha ayudado, hemos ayudado, habéis ayudado, han ayudado","ayudaría, ayudarías, ayudaría, ayudaríamos, ayudaríais, ayudarían"
100,changer,Cambiar,"cambio, cambias, cambia, cambiamos, cambiáis, cambian","cambiaré, cambiarás, cambiará, cambiaremos, cambiaréis, cambiarán","he cambiado, has cambiado, ha cambiado, hemos cambiado, habéis cambiado, han cambiado","cambiaría, cambiarías, cambiaría, cambiaríamos, cambiaríais, cambiarían"
